time_ps,"total_energy[kJ/mol]","kinetic_energy[kJ/mol]","potential_energy[kJ/mol]","temperature[K]","radius_of_gyration[Å]","end_to_end_dist[Å]"
0.0000,24.049474169174907,15.464900469765032,8.584573699409876,310.0000000000001,1.4755251186296243,2.4931074986851245
0.0100,24.111771066533866,14.67479509472723,9.436975971806635,294.1620276353813,1.493867066106199,2.4829670668960784
0.0200,23.82641184265251,18.41186368365983,5.4145481589926785,369.0730343265681,1.513991825597857,2.470492285381983
0.0300,23.5651938194002,15.457024740672765,8.108169078727435,309.84212791906583,1.5258412860246,2.4482319117576887
0.0400,23.47172556726106,15.43553550264537,8.036190064615692,309.4113677081278,1.5332159157533658,2.439619695803411
0.0500,24.073725848035775,10.947113627646242,13.126612220389532,219.43918948622223,1.5462357766670245,2.475287850199352
0.0600,24.728715915105877,12.640301499894054,12.088414415211822,253.37980497372666,1.563581944670226,2.538605687821472
0.0700,25.497664559494005,12.097236584520633,13.400427974973372,242.49385558822,1.573076661832586,2.5828405486356028
0.0800,25.744053873783976,14.886778387029068,10.857275486754908,298.4113159345234,1.5673112627526957,2.60069004084213
0.0900,25.82888547328739,16.7223472814504,9.10653819183699,335.20601489706115,1.5510415019252695,2.6164148567908705
0.1000,25.375548459001326,16.507983380749682,8.867565078251644,330.90900636815775,1.5317756259187583,2.6229478978236687
0.1100,25.270003836391943,17.495281569473615,7.774722266918326,350.6997860826986,1.5139207482478474,2.5963628990076204
0.1200,24.795015431017156,16.165446725098455,8.629568705918699,324.04272465755236,1.5004917667489663,2.5540379721719524
0.1300,24.743882948228787,16.89542008606052,7.848462862168271,338.6753271977792,1.4891424752350901,2.5217903508893875
0.1400,24.495880420249726,15.343571253002503,9.152309167247225,307.5679082274136,1.4739688563873494,2.481575683946185
0.1500,24.427844353222515,17.365809005630005,7.06203534759251,348.1044577215502,1.4565039066745868,2.4200271967420304
0.1600,24.135818957096582,15.067547221396614,9.068271735699966,302.0348981724756,1.4512857015176532,2.383181850074524
0.1700,24.255695617725195,16.360931874583752,7.894763743141443,327.9613012082984,1.4676669341319122,2.4169958072002493
0.1800,23.96596322682627,15.84125595016553,8.124707276660738,317.54419332683415,1.495592072458959,2.498789379903732
0.1900,23.908078893956073,17.139094224808993,6.768984669147082,343.55987095282705,1.516549602353471,2.568031092608272
0.2000,23.528806620253132,16.1730505930649,7.3557560271882325,324.1951471755121,1.5233442407720814,2.5972092383152487
0.2100,23.32474357889936,17.69936753906216,5.625376039837201,354.79076944829734,1.5203075665728802,2.6009282803817193
0.2200,23.208065046894284,13.279131251118995,9.92893379577529,266.1853980822571,1.516014392266281,2.6001001200967195
0.2300,23.66483487640622,14.478898821333217,9.185936055073004,290.23520994451604,1.5171220091567803,2.602575808991586
0.2400,23.95960704838079,13.229339012656924,10.730268035723867,265.1872931184767,1.5251085739132435,2.606115623364945
0.2500,23.95726709607617,17.782101243612676,6.175165852463493,356.44919902958065,1.5331608984354224,2.5917663102056183
0.2600,23.70573349572787,15.075254159264317,8.630479336463555,302.1893867670617,1.5346233291469942,2.5459430425051734
0.2700,23.677782945000367,16.197769141584715,7.480013803415654,324.69064018279806,1.528622339152485,2.4893968911878046
0.2800,23.95298932408174,12.160033106336805,11.792956217744935,243.75263651610715,1.5208158377547518,2.4532886115464967
0.2900,24.465509788101063,13.932547529408955,10.532962258692107,279.2833838511215,1.5154860231537022,2.434907719950475
0.3000,24.890379168122344,13.177584133945265,11.712795034177077,264.14984626054303,1.5147012655985848,2.4237613210526936
0.3100,24.958455258691778,16.328738852822024,8.629716405869756,327.3159794510942,1.5184486396314594,2.431863252232209
0.3200,24.93570788102457,15.76333014835985,9.172377732664717,315.9821400432072,1.5251929930950092,2.471116705559393
0.3300,24.434130230477276,18.748643762447447,5.68548646802983,375.823923194445,1.5328486587480765,2.520929722184466
0.3400,24.076474326541156,16.82243101110921,7.254043315431946,337.2122325416486,1.543766679139454,2.5569338862271924
0.3500,23.68443857330436,16.39342701267364,7.291011560630718,328.61267900588325,1.558407966730218,2.581344618559971
0.3600,23.813869071944143,15.649474646644638,8.164394425299506,313.69986182223056,1.5699074127732702,2.5974088188216777
0.3700,23.267132054784433,18.721807934257708,4.545324120526725,375.28598848512803,1.56955454922168,2.5838235661480566
0.3800,22.62018062748091,20.235854007099316,2.384326620381593,405.6356362891032,1.5571079161653067,2.5243027799648377
0.3900,21.469351358598406,19.5675527197298,1.9017986388686046,392.239274670767,1.5411767973985953,2.443582433249666
0.4000,21.204867370387397,15.893679839369351,5.311187531018048,318.5950507626746,1.5312739771356432,2.390214150386917
0.4100,21.16822769637193,14.390913623945517,6.77731407242641,288.47151212806307,1.5309244649506335,2.3961707191365784
0.4200,21.424759515795287,15.721937171170405,5.702822344624884,315.15240156840645,1.5390069870058538,2.4540445253477197
0.4300,21.087312455549657,17.122604676753568,3.9647077787960896,343.22933148979104,1.552058873222984,2.527413790375477
0.4400,20.652099449248052,18.783131736197603,1.8689677130504498,376.5152481650422,1.5652141240447424,2.5908695169956855
0.4500,20.256004542703742,14.671972662597696,5.584031880106048,294.1054508755201,1.5736475596366475,2.642318368764597
0.4600,20.64541187779332,14.061568965058145,6.583842912735176,281.8696691705418,1.5737550038287529,2.669422961787682
0.4700,20.94357841143172,13.555397477323272,7.388180934108447,271.7232630229829,1.5647111857079279,2.6411912361665326
0.4800,20.848502526393947,18.82484771127392,2.0236548151200258,377.3514612592643,1.54689190906269,2.546704079320161
0.4900,20.234763197370235,16.658465752107205,3.576297445263032,333.9254845674216,1.5245474738149314,2.4263055351139884
0.5000,20.105991914067513,16.50014326377361,3.605848650293903,330.75184814607064,1.5056093463894877,2.3398118635416605
0.5100,20.18660376700745,13.015349638464441,7.171254128543009,260.89779212043516,1.5004586244789926,2.317436148401783
0.5200,20.620048319804212,14.947319842015085,5.6727284777891285,299.62489316267033,1.5113767793458215,2.3488724804744288
0.5300,20.52214782631616,16.21644458514877,4.305703241167389,325.0649967792842,1.5308674612709845,2.4184193854499423
0.5400,20.179810031381194,17.645649004689965,2.534161026691229,353.71396034189945,1.5488718275112698,2.5127727831557385
0.5500,20.22106969685409,12.913639391989923,7.307430304864167,258.8589703078575,1.5601494708548171,2.6066356934620276
0.5600,20.85170207198231,11.744581698079715,9.107120373902596,235.42474996995762,1.5627697964620688,2.668973064408426
0.5700,21.887691677493777,10.565348486930272,11.322343190563503,211.78655739503432,1.5560252898025482,2.677324627987076
0.5800,22.21298167947178,15.611450527404013,6.6015311520677695,312.9376534273147,1.5411444154357952,2.6293621118328567
0.5900,22.364920098490416,14.83072081733972,7.534199281150694,297.28761994710516,1.5238579365584108,2.550982456710586
0.6000,22.25778743822766,15.386703097634122,6.871084340593537,308.4325029826106,1.5091599874718344,2.476783589043876
0.6100,22.70822238866586,13.022613079480422,9.685609309185438,261.04339064655284,1.4996531016692785,2.4210083432769065
0.6200,22.79145313757885,15.801857258155614,6.989595879423236,316.75443108122823,1.495488935437135,2.3749849784249206
0.6300,22.95479559321761,13.979054810052153,8.975740783165456,280.2156405460533,1.4979910135537764,2.350862650007274
0.6400,23.310403311534895,13.123395988756688,10.187007322778207,263.06362362100515,1.505030440058861,2.3807005197475326
0.6500,23.726603907738188,14.738543848399368,8.98806005933882,295.4398964245791,1.511042783132911,2.4610285036163124
0.6600,23.57640823360586,16.641996667449042,6.93441156615682,333.59535530121576,1.5136862070496797,2.540232434689285
